id;code;codein;name;high;low;varbid;pctchange;bid;ask;create_date
34501;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.436;1.413;0.009;0.65;1.43;1.43;2023-02-28 20:02:07.842368
34502;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8629.03;8429.55;138.52;1.64;8523.95;8562.14;2023-02-28 20:02:07.842368
34503;XRP;BRL;XRP/REAL BRASILEIRO;2;1.94;0.03;1.38;2;2;2023-02-28 20:02:07.842368
34504;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.243;5.179;0.023;0.44;5.223;5.224;2023-02-28 20:07:08.819552
34505;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.265;5.205;0.03;0.57;5.1;5.41;2023-02-28 20:07:08.819552
34506;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.863;3.812;0.003;0.07;3.832;3.834;2023-02-28 20:07:08.819552
34507;EUR;BRL;EURO/REAL BRASILEIRO;5.566;5.5;0.011;0.21;5.526;5.53;2023-02-28 20:07:08.819552
34508;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.351;6.256;0.026;0.41;6.297;6.301;2023-02-28 20:07:08.819552
34509;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;0;0.38;0.026;0.026;2023-02-28 20:07:08.819552
34510;BTC;BRL;BITCOIN/REAL BRASILEIRO;123569;121150;123;0.1;121745;121745;2023-02-28 20:07:08.819552
34511;LTC;BRL;LITECOIN/REAL BRASILEIRO;504.01;487.2;7.14;1.46;495.9;497.35;2023-02-28 20:07:08.819552
34512;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.52;0.038;0.038;2023-02-28 20:07:08.819552
34513;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.596;5.53;-0.003;-0.06;5.552;5.555;2023-02-28 20:07:08.819552
34514;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.539;3.487;0.015;0.44;3.517;3.518;2023-02-28 20:07:08.819552
34515;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.756;0.747;0.004;0.54;0.754;0.754;2023-02-28 20:07:08.819552
34516;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.436;1.413;0.009;0.65;1.43;1.43;2023-02-28 20:07:08.819552
34517;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8629.03;8429.55;54.49;0.65;8505.97;8542.77;2023-02-28 20:07:08.819552
34518;XRP;BRL;XRP/REAL BRASILEIRO;2;1.94;0.02;1.02;2;2;2023-02-28 20:07:08.819552
34519;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.243;5.179;0.024;0.45;5.224;5.225;2023-02-28 20:12:08.744845
34520;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.265;5.205;0.03;0.57;5.1;5.41;2023-02-28 20:12:08.744845
34521;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.863;3.812;0.004;0.09;3.833;3.834;2023-02-28 20:12:08.744845
34522;EUR;BRL;EURO/REAL BRASILEIRO;5.566;5.5;0.012;0.21;5.527;5.529;2023-02-28 20:12:08.744845
34523;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.351;6.256;0.026;0.41;6.298;6.3;2023-02-28 20:12:08.744845
34524;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;0;0.38;0.026;0.026;2023-02-28 20:12:08.744845
34525;BTC;BRL;BITCOIN/REAL BRASILEIRO;123569;121150;123;0.1;121743;121808;2023-02-28 20:12:08.744845
34526;LTC;BRL;LITECOIN/REAL BRASILEIRO;504.01;487.2;7.14;1.46;495.46;496.65;2023-02-28 20:12:08.744845
34527;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.52;0.038;0.038;2023-02-28 20:12:08.744845
34528;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.596;5.53;-0.002;-0.03;5.553;5.556;2023-02-28 20:12:08.744845
34529;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.539;3.487;0.016;0.46;3.518;3.519;2023-02-28 20:12:08.744845
34530;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.756;0.747;0.004;0.53;0.754;0.754;2023-02-28 20:12:08.744845
34531;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.436;1.413;0.009;0.64;1.43;1.43;2023-02-28 20:12:08.744845
34532;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8629.03;8429.55;125.77;1.49;8541.84;8586.74;2023-02-28 20:12:08.744845
34533;XRP;BRL;XRP/REAL BRASILEIRO;2;1.94;0.02;0.98;1.99;1.99;2023-02-28 20:12:08.744845
34534;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.243;5.179;0.022;0.42;5.221;5.224;2023-02-28 20:17:08.87786
34535;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.265;5.205;0.03;0.57;5.1;5.41;2023-02-28 20:17:08.87786
34536;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.863;3.812;0;0.01;3.829;3.831;2023-02-28 20:17:08.87786
34537;EUR;BRL;EURO/REAL BRASILEIRO;5.566;5.5;0.01;0.18;5.525;5.528;2023-02-28 20:17:08.87786
34538;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.351;6.256;0.023;0.36;6.294;6.297;2023-02-28 20:17:08.87786
34539;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;0;0.38;0.026;0.026;2023-02-28 20:17:08.87786
34540;BTC;BRL;BITCOIN/REAL BRASILEIRO;123569;121150;123;0.1;121743;121808;2023-02-28 20:17:08.87786
34541;LTC;BRL;LITECOIN/REAL BRASILEIRO;504.01;487.2;7.14;1.46;495.46;496.65;2023-02-28 20:17:08.87786
34542;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.52;0.038;0.038;2023-02-28 20:17:08.87786
34543;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.596;5.53;-0.003;-0.06;5.552;5.554;2023-02-28 20:17:08.87786
34544;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.539;3.487;0.014;0.41;3.516;3.518;2023-02-28 20:17:08.87786
34545;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.756;0.747;0.004;0.5;0.753;0.753;2023-02-28 20:17:08.87786
34546;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.436;1.413;0.009;0.62;1.43;1.43;2023-02-28 20:17:08.87786
34547;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8629.03;8431.22;125.77;1.49;8536.68;8579.45;2023-02-28 20:17:08.87786
34548;XRP;BRL;XRP/REAL BRASILEIRO;2;1.94;0.03;1.38;2;2;2023-02-28 20:17:08.87786
34549;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.243;5.179;0.023;0.43;5.222;5.225;2023-02-28 20:22:07.855601
34550;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.265;5.205;0.03;0.57;5.1;5.41;2023-02-28 20:22:07.855601
34551;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.863;3.812;0.001;0.02;3.83;3.832;2023-02-28 20:22:07.855601
34552;EUR;BRL;EURO/REAL BRASILEIRO;5.566;5.5;0.012;0.21;5.526;5.53;2023-02-28 20:22:07.855601
34553;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.351;6.256;0.022;0.35;6.293;6.297;2023-02-28 20:22:07.855601
34554;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;0;0.38;0.026;0.026;2023-02-28 20:22:07.855601
34555;BTC;BRL;BITCOIN/REAL BRASILEIRO;123569;121150;123;0.1;121743;121808;2023-02-28 20:22:07.855601
34556;LTC;BRL;LITECOIN/REAL BRASILEIRO;504.01;487.2;7.26;1.49;496.33;497.32;2023-02-28 20:22:07.855601
34557;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.52;0.038;0.038;2023-02-28 20:22:07.855601
34558;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.596;5.53;-0.004;-0.07;5.55;5.554;2023-02-28 20:22:07.855601
34559;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.539;3.487;0.014;0.42;3.515;3.518;2023-02-28 20:22:07.855601
34560;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.756;0.747;0.005;0.63;0.754;0.754;2023-02-28 20:22:07.855601
34561;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.436;1.413;0.009;0.64;1.43;1.43;2023-02-28 20:22:07.855601
34562;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8629.03;8437.98;125.77;1.49;8519.09;8565.06;2023-02-28 20:22:07.855601
34563;XRP;BRL;XRP/REAL BRASILEIRO;2;1.94;0.02;0.98;1.99;1.99;2023-02-28 20:22:07.855601
34564;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.243;5.179;0.021;0.41;5.221;5.223;2023-02-28 20:27:07.142851
34565;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.265;5.205;0.03;0.57;5.1;5.41;2023-02-28 20:27:07.142851
34566;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.863;3.812;0.002;0.04;3.831;3.832;2023-02-28 20:27:07.142851
34567;EUR;BRL;EURO/REAL BRASILEIRO;5.566;5.5;0.011;0.2;5.526;5.53;2023-02-28 20:27:07.142851
34568;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.351;6.256;0.023;0.36;6.294;6.298;2023-02-28 20:27:07.142851
34569;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;0;0.38;0.026;0.026;2023-02-28 20:27:07.142851
34570;BTC;BRL;BITCOIN/REAL BRASILEIRO;123569;121206;581;0.48;121999;122028;2023-02-28 20:27:07.142851
34571;LTC;BRL;LITECOIN/REAL BRASILEIRO;504.01;487.2;7.14;1.46;495.46;496.65;2023-02-28 20:27:07.142851
34572;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.52;0.038;0.038;2023-02-28 20:27:07.142851
34573;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.596;5.53;-0.004;-0.07;5.55;5.554;2023-02-28 20:27:07.142851
34574;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.539;3.487;0.014;0.41;3.516;3.517;2023-02-28 20:27:07.142851
34575;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.756;0.747;0.004;0.6;0.753;0.754;2023-02-28 20:27:07.142851
34576;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.436;1.413;0.011;0.78;1.429;1.43;2023-02-28 20:27:07.142851
34577;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8629.03;8437.98;125.77;1.49;8514.36;8558.78;2023-02-28 20:27:07.142851
34578;XRP;BRL;XRP/REAL BRASILEIRO;2;1.94;0.01;0.73;1.99;1.99;2023-02-28 20:27:07.142851
34579;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.243;5.179;0.021;0.41;5.221;5.224;2023-02-28 20:32:07.657314
34580;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.265;5.205;0.03;0.57;5.1;5.41;2023-02-28 20:32:07.657314
34581;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.863;3.812;-0;-0.01;3.829;3.83;2023-02-28 20:32:07.657314
34582;EUR;BRL;EURO/REAL BRASILEIRO;5.566;5.5;0.009;0.17;5.524;5.528;2023-02-28 20:32:07.657314
34583;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.351;6.256;0.02;0.31;6.292;6.294;2023-02-28 20:32:07.657314
34584;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;0;0.38;0.026;0.026;2023-02-28 20:32:07.657314
34585;BTC;BRL;BITCOIN/REAL BRASILEIRO;123569;121206;685;0.56;121955;121973;2023-02-28 20:32:07.657314
34586;LTC;BRL;LITECOIN/REAL BRASILEIRO;504.01;487.2;8.75;1.8;495.98;497.05;2023-02-28 20:32:07.657314
34587;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.52;0.038;0.038;2023-02-28 20:32:07.657314
34588;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.596;5.53;-0.003;-0.05;5.553;5.555;2023-02-28 20:32:07.657314
34589;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.539;3.487;0.014;0.39;3.514;3.517;2023-02-28 20:32:07.657314
34590;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.756;0.747;0.004;0.58;0.753;0.753;2023-02-28 20:32:07.657314
34591;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.436;1.413;0.011;0.77;1.43;1.43;2023-02-28 20:32:07.657314
34592;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8629.03;8437.98;125.77;1.49;8518.36;8556.85;2023-02-28 20:32:07.657314
34593;XRP;BRL;XRP/REAL BRASILEIRO;2;1.94;0.02;0.98;1.99;1.99;2023-02-28 20:32:07.657314
34594;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.243;5.179;0.016;0.31;5.216;5.219;2023-02-28 20:37:09.507681
34595;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.265;5.205;0.03;0.57;5.1;5.41;2023-02-28 20:37:09.507681
34596;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.863;3.812;-0;-0.01;3.829;3.83;2023-02-28 20:37:09.507681
34597;EUR;BRL;EURO/REAL BRASILEIRO;5.566;5.5;0.004;0.08;5.519;5.523;2023-02-28 20:37:09.507681
34598;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.351;6.256;0.012;0.19;6.284;6.287;2023-02-28 20:37:09.507681
34599;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;0;0.38;0.026;0.026;2023-02-28 20:37:09.507681
34600;BTC;BRL;BITCOIN/REAL BRASILEIRO;123569;121206;538;0.44;121871;121968;2023-02-28 20:37:09.507681
34601;LTC;BRL;LITECOIN/REAL BRASILEIRO;504.01;487.2;7.24;1.49;494.44;496.15;2023-02-28 20:37:09.507681
34602;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.26;0.038;0.038;2023-02-28 20:37:09.507681
34603;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.596;5.53;-0.01;-0.18;5.546;5.547;2023-02-28 20:37:09.507681
34604;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.539;3.487;0.009;0.25;3.51;3.512;2023-02-28 20:37:09.507681
34605;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.756;0.747;0.004;0.52;0.753;0.753;2023-02-28 20:37:09.507681
34606;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.436;1.413;0.011;0.75;1.429;1.43;2023-02-28 20:37:09.507681
34607;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8629.03;8437.98;74.49;0.88;8503.73;8545.37;2023-02-28 20:37:09.507681
34608;XRP;BRL;XRP/REAL BRASILEIRO;2;1.94;0.01;0.64;1.99;1.99;2023-02-28 20:37:09.507681
34609;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.243;5.179;0.022;0.42;5.222;5.223;2023-02-28 20:42:07.383373
34610;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.265;5.205;0.03;0.57;5.1;5.41;2023-02-28 20:42:07.383373
34611;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.863;3.812;-0.005;-0.12;3.824;3.827;2023-02-28 20:42:07.383373
34612;EUR;BRL;EURO/REAL BRASILEIRO;5.566;5.5;0.01;0.18;5.525;5.528;2023-02-28 20:42:07.383373
34613;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.351;6.256;0.012;0.19;6.284;6.287;2023-02-28 20:42:07.383373
34614;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;0;0.38;0.026;0.026;2023-02-28 20:42:07.383373
34615;BTC;BRL;BITCOIN/REAL BRASILEIRO;123569;121220;533;0.44;121977;121998;2023-02-28 20:42:07.383373
34616;LTC;BRL;LITECOIN/REAL BRASILEIRO;504.01;487.2;9.48;1.95;495.12;496.68;2023-02-28 20:42:07.383373
34617;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.52;0.038;0.038;2023-02-28 20:42:07.383373
34618;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.596;5.53;-0.012;-0.21;5.544;5.546;2023-02-28 20:42:07.383373
34619;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.539;3.487;0.01;0.28;3.511;3.512;2023-02-28 20:42:07.383373
34620;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.756;0.747;0.004;0.47;0.752;0.752;2023-02-28 20:42:07.383373
34621;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.436;1.413;0.01;0.72;1.428;1.429;2023-02-28 20:42:07.383373
34622;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8629.03;8437.98;74.49;0.88;8524.61;8558.57;2023-02-28 20:42:07.383373
34623;XRP;BRL;XRP/REAL BRASILEIRO;2;1.94;0.01;0.61;1.99;1.99;2023-02-28 20:42:07.383373
34624;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.243;5.179;0.016;0.3;5.216;5.217;2023-02-28 20:47:07.317126
34625;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.265;5.205;0.03;0.57;5.1;5.41;2023-02-28 20:47:07.317126
34626;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.863;3.812;-0.005;-0.13;3.825;3.826;2023-02-28 20:47:07.317126
34627;EUR;BRL;EURO/REAL BRASILEIRO;5.566;5.5;0.004;0.08;5.519;5.522;2023-02-28 20:47:07.317126
34628;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.351;6.256;0.009;0.14;6.281;6.283;2023-02-28 20:47:07.317126
34629;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;0;0.38;0.026;0.026;2023-02-28 20:47:07.317126
34630;BTC;BRL;BITCOIN/REAL BRASILEIRO;123569;121220;652;0.54;122125;122177;2023-02-28 20:47:07.317126
34631;LTC;BRL;LITECOIN/REAL BRASILEIRO;504.01;487.2;7.24;1.49;494.44;496.15;2023-02-28 20:47:07.317126
34632;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.26;0.038;0.038;2023-02-28 20:47:07.317126
34633;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.596;5.53;-0.01;-0.17;5.546;5.548;2023-02-28 20:47:07.317126
34634;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.539;3.487;0.01;0.27;3.511;3.512;2023-02-28 20:47:07.317126
34635;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.756;0.747;0.004;0.48;0.752;0.753;2023-02-28 20:47:07.317126
34636;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.436;1.413;0.009;0.65;1.428;1.428;2023-02-28 20:47:07.317126
34637;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8629.03;8449.97;74.49;0.88;8532.53;8572.88;2023-02-28 20:47:07.317126
34638;XRP;BRL;XRP/REAL BRASILEIRO;2;1.94;0.01;0.61;1.99;1.99;2023-02-28 20:47:07.317126
34639;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.246;5.179;0.041;0.79;5.24;5.243;2023-02-28 20:52:08.257768
34640;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.265;5.205;0.03;0.57;5.1;5.41;2023-02-28 20:52:08.257768
34641;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.863;3.812;0.008;0.21;3.837;3.839;2023-02-28 20:52:08.257768
34642;EUR;BRL;EURO/REAL BRASILEIRO;5.566;5.5;0.034;0.63;5.55;5.552;2023-02-28 20:52:08.257768
34643;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.351;6.256;0.028;0.45;6.298;6.304;2023-02-28 20:52:08.257768
34644;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;0;0.76;0.027;0.027;2023-02-28 20:52:08.257768
34645;BTC;BRL;BITCOIN/REAL BRASILEIRO;123569;121220;880;0.72;122338;122378;2023-02-28 20:52:08.257768
34646;LTC;BRL;LITECOIN/REAL BRASILEIRO;504.01;487.2;8.76;1.8;494.47;495.53;2023-02-28 20:52:08.257768
34647;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.038;0.038;0;0.52;0.038;0.038;2023-02-28 20:52:08.257768
34648;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.596;5.53;-0.013;-0.23;5.542;5.545;2023-02-28 20:52:08.257768
34649;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.539;3.487;0.013;0.37;3.514;3.516;2023-02-28 20:52:08.257768
34650;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.756;0.747;0.006;0.84;0.755;0.755;2023-02-28 20:52:08.257768
34651;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.436;1.413;0.014;1.02;1.433;1.434;2023-02-28 20:52:08.257768
34652;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8629.03;8449.97;76.4;0.91;8529.83;8570.89;2023-02-28 20:52:08.257768
34653;XRP;BRL;XRP/REAL BRASILEIRO;2;1.94;0.02;0.81;1.99;2;2023-02-28 20:52:08.257768
34654;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.246;5.179;0.037;0.72;5.238;5.239;2023-02-28 20:57:08.812744
34655;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.265;5.205;0.03;0.57;5.1;5.41;2023-02-28 20:57:08.812744
34656;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.863;3.812;0.011;0.3;3.84;3.842;2023-02-28 20:57:08.812744
34657;EUR;BRL;EURO/REAL BRASILEIRO;5.566;5.5;0.026;0.46;5.54;5.544;2023-02-28 20:57:08.812744
34658;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.351;6.256;0.035;0.56;6.306;6.311;2023-02-28 20:57:08.812744
34659;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;0;0.76;0.027;0.027;2023-02-28 20:57:08.812744
34660;BTC;BRL;BITCOIN/REAL BRASILEIRO;123569;121220;963;0.79;122334;122365;2023-02-28 20:57:08.812744
34661;LTC;BRL;LITECOIN/REAL BRASILEIRO;504.01;487.2;7.84;1.61;495.53;496.13;2023-02-28 20:57:08.812744
34662;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.039;0.038;0;0.79;0.038;0.038;2023-02-28 20:57:08.812744
34663;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.596;5.53;0.006;0.1;5.561;5.563;2023-02-28 20:57:08.812744
34664;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.539;3.487;0.024;0.68;3.525;3.527;2023-02-28 20:57:08.812744
34665;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.756;0.747;0.007;0.92;0.756;0.756;2023-02-28 20:57:08.812744
34666;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.436;1.413;0.015;1.03;1.433;1.434;2023-02-28 20:57:08.812744
34667;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8629.03;8449.97;140.31;1.66;8534.76;8575.1;2023-02-28 20:57:08.812744
34668;XRP;BRL;XRP/REAL BRASILEIRO;2;1.94;0.01;0.56;1.99;1.99;2023-02-28 20:57:08.812744
34669;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.246;5.179;0.034;0.66;5.235;5.235;2023-02-28 21:02:08.720298
34670;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.265;5.205;0.03;0.57;5.1;5.41;2023-02-28 21:02:08.720298
34671;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.863;3.812;0.008;0.22;3.838;3.839;2023-02-28 21:02:08.720298
34672;EUR;BRL;EURO/REAL BRASILEIRO;5.566;5.5;0.021;0.38;5.536;5.539;2023-02-28 21:02:08.720298
34673;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.351;6.256;0.024;0.39;6.296;6.299;2023-02-28 21:02:08.720298
34674;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;0;0.76;0.027;0.027;2023-02-28 21:02:08.720298
34675;BTC;BRL;BITCOIN/REAL BRASILEIRO;123569;121220;838;0.69;122250;122250;2023-02-28 21:02:08.720298
34676;LTC;BRL;LITECOIN/REAL BRASILEIRO;504.01;487.2;8.33;1.71;494.8;496.13;2023-02-28 21:02:08.720298
34677;JPY;BRL;IENE JAPONÊS/REAL BRASILEIRO;0.039;0.038;0;0.79;0.038;0.038;2023-02-28 21:02:08.720298
34678;CHF;BRL;FRANCO SUÍÇO/REAL BRASILEIRO;5.596;5.53;0.002;0.04;5.557;5.56;2023-02-28 21:02:08.720298
34679;AUD;BRL;DÓLAR AUSTRALIANO/REAL BRASILEIRO;3.539;3.487;0.02;0.57;3.521;3.523;2023-02-28 21:02:08.720298
34680;CNY;BRL;YUAN CHINÊS/REAL BRASILEIRO;0.756;0.747;0.006;0.8;0.755;0.755;2023-02-28 21:02:08.720298
34681;ILS;BRL;NOVO SHEKEL ISRAELENSE/REAL BRASILEIRO;1.436;1.413;0.015;1.05;1.434;1.434;2023-02-28 21:02:08.720298
34682;ETH;BRL;ETHEREUM/REAL BRASILEIRO;8629.03;8449.97;140.31;1.66;8520.73;8563.4;2023-02-28 21:02:08.720298
34683;XRP;BRL;XRP/REAL BRASILEIRO;2;1.94;0.01;0.69;2;2;2023-02-28 21:02:08.720298
34684;USD;BRL;DÓLAR AMERICANO/REAL BRASILEIRO;5.246;5.179;0.04;0.77;5.241;5.241;2023-02-28 21:07:08.207286
34685;USD;BRLT;DÓLAR AMERICANO/REAL BRASILEIRO TURISMO;5.265;5.205;0.03;0.57;5.1;5.41;2023-02-28 21:07:08.207286
34686;CAD;BRL;DÓLAR CANADENSE/REAL BRASILEIRO;3.863;3.812;0.009;0.23;3.838;3.839;2023-02-28 21:07:08.207286
34687;EUR;BRL;EURO/REAL BRASILEIRO;5.566;5.5;0.027;0.49;5.542;5.545;2023-02-28 21:07:08.207286
34688;GBP;BRL;LIBRA ESTERLINA/REAL BRASILEIRO;6.351;6.256;0.028;0.45;6.3;6.303;2023-02-28 21:07:08.207286
34689;ARS;BRL;PESO ARGENTINO/REAL BRASILEIRO;0.027;0.026;0;0.76;0.027;0.027;2023-02-28 21:07:08.207286
